movie_id,director_popularity
353486,1.502
278154,0.709
155,7.796
187017,1.871
10607,1.092
409502,0.6
290859,2.743
123553,1.76
454640,1.059
19899,7.163
454527,4.897
37786,0.94
10527,2.0460000000000003
297761,5.164
44896,1.994
49444,2.054
157350,1.722
9552,1.935
616651,1.561
136799,2.2335000000000003
9714,1.788
13971,0.732
313297,1.4
20352,1.9105
36557,2.454
80321,2.815666666666667
2105,1.75
293167,0.828
338967,2.07
238,3.502
14560,2.127
399579,4.63
10521,0.6
480530,0.6
511987,1.746
14248,0.84
272,7.796
479455,3.074
21208,2.293
64690,0.637
283366,5.116
147441,13.93
339403,6.802
381288,6.354
10729,5.234500000000001
11,7.801
62835,1.533
100402,2.9585
4248,1.4
68737,0.711
522162,2.212
118340,4.642
311324,3.32
346364,1.277
300671,3.812
346672,1.116
158015,3.839
68718,6.853
291805,0.69
10198,1.3359999999999999
10184,3.29
184315,1.943
920,3.974
172385,2.4
338952,3.66
481084,2.8775000000000004
481848,2.548
87428,0.828
13053,2.721
166428,1.128
49018,3.427
23483,5.259
222935,1.183
17610,4.612
56292,4.596
604,9.673
312221,2.856
9836,3.142
1724,2.367
58595,0.6
1579,10.471
210577,5.118
23631,2.6149999999999998
281957,1.408
127585,2.636
117263,2.853
184345,0.6
321612,1.585
278,7.13
331482,3.449
12092,1.2523333333333333
166424,1.9096666666666664
72431,1.015
480414,1.616
561,1.896
302699,5.44
57201,1.994
82700,6.354
15373,2.804
76163,0.652
579047,1.399
74998,2.393
263472,3.245
2454,2.589
11397,1.96
396422,1.473
14164,0.766
119283,1.418
49021,0.6
499701,2.183
10054,4.63
71552,1.8955
58574,6.89
169209,1.586
76489,2.0605
43959,2.568
23023,1.174
2770,0.84
400535,2.446
37710,1.96
508439,0.797
60747,1.708
381289,2.551
9444,1.0
238636,3.839
8277,0.6
16290,1.18
10625,0.774
61791,0.98
20453,1.214
1267,2.412
22881,4.293
47971,1.954
605,9.673
53182,0.6
359724,2.135
70160,1.655
447200,5.44
9902,0.6
345887,2.853
38322,1.763
7555,16.073
524047,0.619
7446,5.762
10340,1.2523333333333333
64688,1.871
62206,2.07
10386,4.596
290764,1.237
80035,1.856
4523,1.707
287948,1.932
250546,0.626
6479,1.896
