,name,actor_id,gender,character,actor_popularity,movie_id
123,Helen Mirren,15735.0,1.0,Magdalene 'Queenie' Shaw,10.027,385128
124,Charlize Theron,6885.0,1.0,Cipher,16.724,385128
125,Jason Statham,976.0,2.0,Deckard Shaw (uncredited),31.426,385128
126,Scarlett Johansson,1245.0,1.0,Natasha Romanoff / Black Widow,35.485,497698
127,Florence Pugh,1373737.0,1.0,Yelena Belova,15.847,497698
128,Rachel Weisz,3293.0,1.0,Melina Vostokoff,16.042,497698
129,Olga Kurylenko,18182.0,1.0,Antonia Dreykov,13.601,497698
130,Violet McGraw,2131391.0,1.0,Young Yelena,16.247,497698
131,Jeremy Renner,17604.0,2.0,Clint Barton / Hawkeye (voice) (uncredited),14.855,497698
132,Noomi Rapace,87722.0,1.0,Lisa,15.799,760747
133,Emma Stone,54693.0,1.0,Estella / Cruella,13.657,337404
134,Emma Thompson,7056.0,1.0,The Baroness,11.817,337404
135,Joel Fry,54811.0,2.0,Jasper,11.768,337404
136,Mark Strong,2983.0,2.0,John the Valet,13.524,337404
137,Zendaya,505710.0,1.0,Lola Bunny (voice),35.712,379686
138,Rupert Friend,36669.0,2.0,Jeff,11.587,760195
139,Violet McGraw,2131391.0,1.0,Jenny,16.247,760195
140,Andrew Garfield,37625.0,2.0,Peter Parker / Spider-Man,26.284,1930
141,Emma Stone,54693.0,1.0,Gwen Stacy,13.657,1930
142,Rhys Ifans,7026.0,2.0,Dr. Curt Connors / The Lizard,11.232,1930
143,Embeth Davidtz,6368.0,1.0,Mary Parker,11.23,1930
144,Kelsey Asbille,205976.0,1.0,Sally Avril,10.312,1930
145,Hiroyuki Sanada,9195.0,2.0,Hanzo Hasashi / Scorpion,10.782,460465
146,Anika Noni Rose,15563.0,1.0,Selina Kyle / Catwoman (voice),11.158,831405
147,Tom Holland,1136406.0,2.0,Peter Parker / Spider-Man,58.2,429617
148,Samuel L. Jackson,2231.0,2.0,Nick Fury,22.912,429617
149,Jake Gyllenhaal,131.0,2.0,Quentin Beck / Mysterio,16.706,429617
150,Marisa Tomei,3141.0,1.0,May Parker,10.199,429617
151,Jon Favreau,15277.0,2.0,Harold 'Happy' Hogan,10.248,429617
152,Zendaya,505710.0,1.0,Michelle 'MJ' Jones,35.712,429617
153,Angourie Rice,1265629.0,1.0,Betty Brant,13.564,429617
154,J.K. Simmons,18999.0,2.0,J. Jonah Jameson,13.065,429617
155,Jeff Bridges,1229.0,2.0,Obadiah Stane (archive footage) (uncredited),10.972,429617
156,Chris Pratt,73457.0,2.0,Dan Forester,19.635,588228
157,J.K. Simmons,18999.0,2.0,James Forester,13.065,588228
158,Melora Hardin,404.0,1.0,Officer Sacks,13.447,777620
159,Bruce Willis,62.0,2.0,James Ford,16.623,681887
160,Frank Grillo,81685.0,2.0,Gen. Eron Ryle,17.623,681887
161,Lochlyn Munro,58058.0,2.0,Alex Loche,11.604,681887
162,Ben Affleck,880.0,2.0,Bruce Wayne / Batman,13.756,791373
163,Henry Cavill,73968.0,2.0,Clark Kent / Superman / Kal-El,24.431,791373
164,Gal Gadot,90633.0,1.0,Diana Prince / Wonder Woman,58.404,791373
165,Jason Momoa,117642.0,2.0,Arthur Curry / Aquaman,24.002,791373
166,Amy Adams,9273.0,1.0,Lois Lane,18.525,791373
167,Jeremy Irons,16940.0,2.0,Alfred Pennyworth,12.074,791373
168,Connie Nielsen,935.0,1.0,Queen Hippolyta,21.811,791373
169,J.K. Simmons,18999.0,2.0,Commissioner James Gordon,13.065,791373
170,Ciarán Hinds,8785.0,2.0,Steppenwolf (voice),13.195,791373
171,Jared Leto,7499.0,2.0,The Joker,13.673,791373
172,Willem Dafoe,5293.0,2.0,Nudis Vulko,16.354,791373
173,Russell Crowe,934.0,2.0,Jor-El (voice),14.884,791373
174,Carla Gugino,17832.0,1.0,Ship Voice (voice),18.071,791373
175,Kevin Costner,1269.0,2.0,Jonathan Kent (voice) (uncredited),10.317,791373
176,Zack Snyder,15217.0,2.0,Man in Coffee Shop (uncredited),10.7,791373
177,Tom Holland,1136406.0,2.0,Peter Parker / Spider-Man,58.2,315635
178,Michael Keaton,2232.0,2.0,Adrian Toomes / Vulture,12.502,315635
179,Robert Downey Jr.,3223.0,2.0,Tony Stark / Iron Man,22.489,315635
