movie_id,title,genre_ids,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating
330457,Frozen II,"[10751, 16, 12, 35, 14]",2019-11-20,153.953,7.3,7795,150000000,1450026933,PG
590706,Jiu Jitsu,"[14, 28, 878]",2020-11-20,153.876,5.1,448,23000000,99924,R
271110,Captain America: Civil War,"[12, 28, 878]",2016-04-27,152.666,7.4,18925,250000000,1153296293,PG-13
335797,Sing,"[16, 35, 10751, 10402]",2016-11-23,151.177,7.1,6324,75000000,634151679,PG
337401,Mulan,"[12, 14]",2020-09-04,150.879,7.0,5287,200000000,66800000,PG-13
284052,Doctor Strange,"[28, 12, 14, 878]",2016-10-25,150.231,7.4,17822,165000000,677700000,PG-13
32657,Percy Jackson & the Olympians: The Lightning Thief,"[12, 14, 10751]",2010-02-01,149.289,6.2,6054,95000000,226497209,PG
862,Toy Story,"[16, 12, 10751, 35]",1995-10-30,147.272,8.0,14729,30000000,373554033,G
384018,Fast & Furious Presents: Hobbs & Shaw,"[28, 12, 35]",2019-08-01,145.423,6.9,5461,200000000,760098996,PG-13
18785,The Hangover,[35],2009-06-02,144.063,7.3,13897,35000000,469310836,R
284053,Thor: Ragnarok,"[28, 12, 14, 878]",2017-10-25,143.832,7.6,16790,180000000,853977126,PG-13
1865,Pirates of the Caribbean: On Stranger Tides,"[12, 28, 14]",2011-05-14,141.308,6.5,11412,380000000,1045713802,PG-13
808,Shrek,"[16, 35, 14, 12, 10751]",2001-05-18,138.511,7.7,13154,60000000,487853320,PG
772,Home Alone 2: Lost in New York,"[35, 10751, 12]",1992-11-19,137.706,6.7,7337,18000000,358994850,PG
13475,Star Trek,"[878, 28, 12]",2009-05-06,137.329,7.4,8232,150000000,385680446,PG-13
98566,Teenage Mutant Ninja Turtles,"[878, 28, 12, 35]",2014-08-07,135.273,5.9,5647,125000000,477200000,PG-13
800497,Werewolves Within,"[35, 27]",2021-06-25,134.834,6.2,203,6500000,250811,R
156022,The Equalizer,"[53, 28, 80]",2014-09-24,134.64,7.2,6908,55000000,192330738,R
214756,Ted 2,[35],2015-06-25,134.339,6.3,5933,68000000,215863606,R
333339,Ready Player One,"[878, 12, 28]",2018-03-28,134.125,7.6,12229,175000000,582890172,PG-13
39254,Real Steel,"[28, 878, 18]",2011-09-28,132.525,6.9,6360,110000000,299268508,PG-13
43074,Ghostbusters,"[28, 14, 35]",2016-07-14,132.15,5.4,5238,144000000,229147509,PG-13
4564,Sex and the City,"[35, 18, 10749]",2008-05-12,132.01,6.6,1714,65000000,415252786,R
585,"Monsters, Inc.","[16, 35, 10751]",2001-11-01,131.875,7.8,14872,115000000,562816256,G
393345,Cult of Chucky,"[27, 53]",2017-10-23,131.275,5.8,814,6500000,2200000,R
14161,2012,"[28, 12, 878]",2009-10-10,130.667,5.8,10036,200000000,791217826,PG-13
216015,Fifty Shades of Grey,"[18, 10749, 53]",2015-02-11,130.124,5.9,9897,40000000,571006128,R
11932,Bride of Chucky,"[27, 35, 10749]",1998-10-16,129.235,5.9,1316,25000000,50671850,R
193893,Let's Be Cops,[35],2014-08-13,128.135,6.4,2223,17000000,136621271,R
863,Toy Story 2,"[16, 35, 10751]",1999-10-30,127.504,7.6,11057,90000000,497366869,G
475557,Joker,"[80, 53, 18]",2019-10-02,126.68,8.2,19164,55000000,1074251311,R
22803,Law Abiding Citizen,"[18, 80, 53]",2009-10-15,124.706,7.3,3782,53000000,126690726,R
240832,Lucy,"[28, 878]",2014-07-25,124.592,6.4,13574,40000000,458863600,R
177572,Big Hero 6,"[12, 10751, 16, 28, 35]",2014-10-24,122.423,7.8,13170,165000000,657827828,PG
8587,The Lion King,"[10751, 16, 18]",1994-06-23,122.002,8.3,14685,45000000,763455561,G
383498,Deadpool 2,"[28, 35, 12]",2018-05-10,121.677,7.5,13983,110000000,786365638,R
68721,Iron Man 3,"[28, 12, 878]",2013-04-18,121.359,6.9,18616,200000000,1214811252,PG-13
122917,The Hobbit: The Battle of the Five Armies,"[28, 12, 14]",2014-12-10,120.52,7.3,11493,250000000,956019788,PG-13
16996,17 Again,[35],2009-03-11,120.147,6.3,4151,20000000,136267476,PG-13
458156,John Wick: Chapter 3 - Parabellum,"[28, 53, 80]",2019-05-15,119.5,7.4,7425,55000000,326709727,R
337167,Fifty Shades Freed,"[18, 10749]",2018-01-17,119.498,6.7,6603,55000000,368307760,R
72545,Journey 2: The Mysterious Island,"[12, 28, 878]",2012-01-19,119.018,6.1,3320,79000000,355692760,PG
43347,Love & Other Drugs,"[18, 35, 10749]",2010-11-22,118.957,7.0,4004,30000000,102820008,R
72190,World War Z,"[28, 18, 27, 878, 53]",2013-06-20,118.638,6.8,12520,200000000,531865000,PG-13
454626,Sonic the Hedgehog,"[28, 878, 35, 10751]",2020-02-12,118.41,7.4,7270,85000000,306766470,PG
9820,The Parent Trap,"[35, 10751]",1998-07-28,117.641,7.1,3077,15000000,92108518,PG
10196,The Last Airbender,"[28, 12, 14]",2010-06-30,117.343,4.7,3106,150000000,319713881,PG
301528,Toy Story 4,"[10751, 12, 16, 35, 14, 18]",2019-06-19,117.182,7.6,7528,175000000,1073394593,G
585216,Escape Room: Tournament of Champions,"[27, 53, 9648]",2021-07-01,116.443,6.9,755,15000000,44888959,PG-13
228150,Fury,"[10752, 18, 28]",2014-10-15,116.307,7.5,9502,68000000,211817906,R
68726,Pacific Rim,"[28, 878, 12]",2013-07-11,116.187,6.8,10146,180000000,407602906,PG-13
72331,Abraham Lincoln: Vampire Hunter,"[28, 14, 27]",2012-06-20,116.163,5.7,2641,69000000,116471580,R
109445,Frozen,"[16, 10751, 12, 14]",2013-11-20,115.048,7.3,13711,150000000,1274219009,PG
809,Shrek 2,"[16, 10751, 35, 14, 12]",2004-05-19,114.876,7.2,9411,150000000,928760770,PG
10585,Child's Play,[27],1988-11-08,114.848,6.6,2052,9000000,44196684,R
257344,Pixels,"[28, 35, 878]",2015-07-16,114.672,5.7,6219,88000000,243637091,PG-13
24418,Cirque du Freak: The Vampire's Assistant,"[12, 14, 28, 53]",2009-10-23,114.636,5.7,844,40000000,28169671,PG-13
38575,The Karate Kid,"[28, 12, 18, 10751]",2010-06-10,114.556,6.5,4680,40000000,359126022,PG
138843,The Conjuring,"[27, 53]",2013-03-20,113.912,7.5,8881,13000000,319494638,R
474350,It Chapter Two,"[27, 14]",2019-09-04,113.892,6.9,6468,79000000,473093228,R
254128,San Andreas,"[28, 18, 53]",2015-05-27,113.443,6.2,6903,110000000,473990832,PG-13
425,Ice Age,"[16, 35, 10751, 12]",2002-03-10,113.346,7.3,10552,59000000,383257136,PG
76338,Thor: The Dark World,"[28, 12, 14]",2013-10-30,113.256,6.6,14128,170000000,644571402,PG-13
14869,G.I. Joe: The Rise of Cobra,"[12, 28, 53, 878]",2009-08-03,112.516,5.7,3757,175000000,302469017,PG-13
1726,Iron Man,"[28, 878, 12]",2008-04-30,111.391,7.6,21696,140000000,585174222,PG-13
398818,Call Me by Your Name,"[10749, 18]",2017-09-01,111.019,8.3,9654,4000000,41063475,R
34851,Predators,"[878, 28, 53]",2010-07-03,110.234,6.2,2995,40000000,127233108,R
284054,Black Panther,"[28, 12, 878]",2018-02-13,110.111,7.4,18237,200000000,1346739107,PG-13
11249,Seed of Chucky,"[27, 35, 53]",2004-11-11,109.875,5.4,1099,12000000,24829644,R
27205,Inception,"[28, 878, 12]",2010-07-15,109.602,8.3,30334,160000000,825532764,PG-13
119450,Dawn of the Planet of the Apes,"[878, 28, 18, 53]",2014-06-26,109.415,7.3,9127,170000000,710644566,PG-13
27578,The Expendables,"[53, 12, 28]",2010-08-03,108.749,6.2,6238,80000000,274470394,R
7445,Brothers,"[18, 53, 10752]",2009-01-22,108.597,7.0,1935,26000000,43318349,R
26123,American Pie Presents: The Book of Love,[35],2009-06-18,108.572,5.3,1395,7000000,5021219,R
