adult,backdrop_path,genre_ids,movie_id,original_language,original_title,overview,popular,poster_path,upcoming,title,video,vote_average,vote_count
False,/98rHjL0XkUo1YUGJtp5qnnKcmnp.jpg,"[878, 53]",728526,en,Encounter,"Two young brothers go on the run with their father, a decorated Marine, who is trying to protect them from an unhuman threat. As the journey takes them in increasingly dangerous and unexpected directions, the boys will need to confront hard truths and leave their childhood behind.",13.011,/m8FbbKowTcud7r1JPz95qFU8z2H.jpg,2021-12-03,Encounter,False,0.0,0
False,/1TWdhXBsi6yIF2LP1ROoCzGXiwk.jpg,"[35, 18, 27]",664574,en,Silent Night,"Nell, Simon, and their boy Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.",12.761,/2lqB2Vy6WwJdInxggw8tZbn6zJr.jpg,2021-12-02,Silent Night,False,0.0,0
False,/nRYqd191U8hw1nGQIX9QfmpTOUB.jpg,"[9648, 53]",477018,fr,Les Traducteurs,"Nine translators, hired to translate the eagerly awaited final book of a bestselling trilogy, are confined in a luxurious bunker.",12.377,/8A6qALzfMxgj51ly8KyTCZfXutG.jpg,2019-12-20,The Translators,False,6.7,281
False,/2l8Mcy6MD8MoqYmQIuGcKz63Sra.jpg,[18],660943,es,El olvido que seremos,"Portrays the life of Héctor Abad Gómez, a prominent doctor and human rights activist in the polarized, violent Medellin of the 70s. A family man worried not only for his own children but those of the underprivileged classes as well, his home was imbued with vitality and creativity, the result of an education based on tolerance and love. Nothing could foretell that a terrible cancer would take the life of one of his beloved daughters. Driven by sadness and rage, Héctor devoted himself to the social and political causes of the time. But Medellin's intolerant society would harass him until he was finally silenced.",12.354,/AnFd9DkA3UGhqmEVtPN9rIIJoH7.jpg,2020-08-22,Memories of My Father,False,8.0,76
False,/vr6TqnRLcZACo9htfcmBUcjs2t4.jpg,"[10751, 35]",802217,en,8-Bit Christmas,"In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas.",12.233,/wlh2wY2yC2SkwAdjcMRH4oiw04V.jpg,2021-11-25,8-Bit Christmas,False,0.0,0
False,/jqOCty3utHRzDf8BNX5rP6p0UDe.jpg,"[14, 12, 10751]",399363,en,Wendy,"A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth.",12.026,/nphsStbtAuJ2IaXtCvDXDwMUF5N.jpg,2020-02-28,Wendy,False,6.1,74
False,/8i1mcfbhpvEsSbcvLD6FTouSHQm.jpg,"[18, 36]",517088,en,Being the Ricardos,Follows Lucille Ball and Desi Arnaz as they face a crisis that could end their careers and another that could end their marriage.,11.999,/oztBLWdRk5gApYmNdADXvXkLT5m.jpg,2021-12-10,Being the Ricardos,False,0.0,0
False,/9BtirwHb53R2cdTZkXvnWTK4BFN.jpg,"[35, 10749, 18]",660120,no,Verdens verste menneske,"Chronicles four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",11.958,/dRzd9EvRzW2Nsfylq0ROIRG7FbN.jpg,2021-10-13,The Worst Person in the World,False,7.1,59
False,/3Hu2NrLq07sZovInAN5wIaAo8xf.jpg,[10749],805973,en,Christmas at the Ranch,"When Haley Hollis returns to her family ranch to try and save it from closure, she wasn't banking on spending so much time with ranch hand Kate - or falling for her.",11.922,/mewHk6JNHHSVeTJ5DBFrjdtxmUE.jpg,2021-12-01,Christmas at the Ranch,False,0.0,0
False,/8wqzdzPdnXSYUd9UEYLeTJK16EH.jpg,"[28, 18, 53]",862855,zh,峰爆,"The opening of the new tunnel, which took ten years to build, coincided with a series of serious cataclysms. The lives of 160,000 people depend on the actions of two people, a father and a son.",11.506,/9gKfAKiFT5VHbqx5DgPsuUHS2te.jpg,2021-09-11,Cloudy Mountain,False,8.5,2
False,/mcmo8081tivBic8AkJGy5zfRDCc.jpg,"[18, 10749, 35]",416186,fr,Le Redoutable,"In 1967, during the making of “La Chinoise,” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her.",11.404,/JfAE5Pj1Qqv7Ij5DaUG0QoZC97.jpg,2017-06-24,Godard Mon Amour,False,6.7,252
False,/4jyZfVacXbqC6utoMYM6abiuN5z.jpg,[35],671043,fr,Pourris gâtés,"The billionaire is tired of the whims of his own children and decides to teach them a lesson. He announces to them that he has become bankrupt. Now spoiled teenagers will have to do what they have never done: go to work, learn to love and value life.",11.288,/f7ON6G7gq4TVgMZV0MCIeNTrJaG.jpg,2021-09-15,Spoiled Brats,False,5.4,23
False,/noIJkMbEyTtV80iY5siHggd8Ioi.jpg,"[10751, 16, 35]",453191,fr,Le Grand Méchant Renard et autres contes...,"The misadventures of a young clumsy Fox and a feisty little red Hen.  The Fox, both a little stupid and naïve, tries daily to devour the little Hen, without success. Tired of the repeated humiliation, the Fox is persuaded to steal the Hen’s eggs to raise and then eat. This plan seems perfect, until the moment the chicks hatch…",10.985,/3Nib5a3p2O7yPFSTTNwChp0cnsh.jpg,2017-06-21,The Big Bad Fox and Other Tales,False,7.7,196
False,/4fza1QWpGAoxReiEsnvdFBeMyfX.jpg,"[10749, 18, 35]",286687,ko,화려한 외출,"Korea's most popular song writer Hee-soo (Kim Seon-yeong) runs into a nineteen-year-old boy in the elevator. Hee-soo is inspired by a new song watching him shake at her figure. She starts to tell him about women under the excuse that she's teaching him music. They fall for each other but things get complicated when her life teacher, Joon-ho who taught her about life and music comes back...",10.961,/klTbmrsAxrCUxuYubiYzvPwvdY.jpg,2013-12-05,Love Lesson,False,6.5,16
False,/4xuvAWBN1CAkVfYfjizRxsMNKHR.jpg,"[18, 35]",762904,en,Off the Rails,"Now in their 50’s, three friends recreate an inter-rail journey across Europe, but this time 18-year-old Maddie is taking her mother’s place, fulfilling her dying wish. With lost passports, train strikes and romantic entanglements thrown in their way, they must put old feuds aside to complete the journey within five days and remind themselves that they are still at their peak.",10.921,/2T2QqMlUvWz2uOwoMa1gp4PWUhz.jpg,2021-07-23,Off the Rails,False,6.6,7
False,/uZ4kuVYj53t5kYeOwGhA57rRp69.jpg,"[35, 18]",602334,fr,France,"A celebrity journalist, juggling her busy career and personal life, has her life over-turned by a freak car accident.",10.879,/bXUyiSJmIFpNKmKBD1UWiaUtfBe.jpg,2021-08-25,France,False,4.9,31
False,/5B22eed7ErxFiYAG4Ksb4eLwKNF.jpg,"[12, 16, 35, 10751, 10402]",770254,en,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",10.481,/eCz49daWwS0JnJFXEJUBdPddY7D.jpg,2021-12-03,Back to the Outback,False,0.0,0
False,/4ibM9Ux4JB82A53WolGo5QmqWT4.jpg,"[10402, 18]",88036,en,Sparkle,"Musical prodigy, Sparkle struggles to become a star while overcoming issues that are tearing her family apart. From an affluent Detroit area and daughter to a single mother, she tries to balance a new romance with music manager Stix while dealing with the unexpected challenges her new life will bring as she and her two sisters strive to become a dynamic singing group during the Motown-era.",11.552,/8LBmoUihFRMKR0akZgWW9CvAzWe.jpg,2012-08-17,Sparkle,False,6.2,83
False,/xPTefQ4CZpWapxiEsAZsxtidS49.jpg,"[10751, 878]",682075,en,The Adventure of A.R.I.: My Robot Friend,A teenager summons the courage to help a friendly robot known as A.R.I. kidnapped by a ruthless lab director working for a powerful corporation seeking to turn him into a dangerous weapon in order to rule the world.,9.993,/txcjXiyhBvsSFyZtgCHWW7CyIeN.jpg,2021-12-02,The Adventure of A.R.I.: My Robot Friend,False,0.0,0
False,/yxrAG28kXDuKJ7KJkQoj6e0dCcy.jpg,"[18, 36]",655187,eu,Akelarre,"French Basque Country, year 1609. The men of a small fishing village have gone to sea. Judge Rostegui, who has been charged by the king with ridding the country of the devil's wiles, arrests Ana and her friends and accuses them of witchcraft.",9.936,/lyB3yoQbGO3LiCVuSOD2g17Hr6p.jpg,2020-10-02,Coven,False,6.8,173
False,,"[35, 10749]",603661,en,The Hating Game,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",9.916,/prbZxJxGcy07y60eq8lCGMciTYz.jpg,2021-12-10,The Hating Game,False,0.0,0
False,/yagbyodmRIzHOhyRnceeOSYYPe4.jpg,"[80, 18, 53]",693827,en,Lansky,"When the aging Meyer Lansky is investigated one last time by the Feds who suspect he has stashed away millions of dollars over half a century, the retired gangster spins a dizzying tale, revealing the untold truth about his life as the notorious boss of Murder Inc. and the National Crime Syndicate.",9.783,/weNMzi7WXuzoml2Wvm1VMEE7Ipq.jpg,2021-06-24,Lansky,False,6.3,36
False,/xoTxAxzloyUvDK2DKhGb9iSyBRe.jpg,"[16, 14, 28, 12]",795607,zh,白蛇2：青蛇劫起,"While trying to free her sister from Fahai's clutches, Xiao Qing/Verta winds up in a dystopian city and meets a mysterious man who can't recall his past lives.  The sequel to Light Chaser's animated film about the legend of the White Snake.",9.682,/1j0KEGm2fSihFwl1sgM5mu2XE3S.jpg,2021-07-23,White Snake II: The Tribulation of the Green Snake,False,7.2,6
