movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
190955,Blood Ties,2013-08-22,21.11,6.1,365,25500000,2415472,R,"['Other', ' Wild Bunch', ' Other', ' Other', ' Other', ' Worldview Entertainment', ' Ciné+', ' M6', ' Other', ' Other', ' Other', ' Other', ' Other', ' Canal+', ' Other', ' Other']","['Thriller', 'Crime', 'Drama']"
9602,Coming to America,1988-06-29,21.109,6.8,3307,39000000,288752301,R,"['Other', ' Paramount']","['Comedy', 'Romance']"
400157,Wonder Park,2019-03-13,21.105,6.4,522,100000000,119559110,PG,"['Nickelodeon Movies', ' Paramount Animation', ' Other', ' Other', ' Other', ' Other']","['Comedy', 'Animation', 'Adventure', 'Family', 'Fantasy']"
403119,47 Meters Down,2017-05-25,21.094,5.8,2247,5500000,44235023,PG-13,"['Other', ' Other', ' Other', ' Other', ' Dimension Films', ' Other', ' Other', ' The Fyzz']","['Horror', 'Drama', 'Thriller', 'Adventure']"
9659,Mad Max,1979-04-12,21.09,6.7,3242,300000,8771757,R,"['Kennedy Miller Productions', ' Other', ' Other', ' Other']","['Adventure', 'Action', 'Thriller', 'Science Fiction']"
503616,Second Act,2018-11-22,21.078,6.4,967,16000000,72282227,PG-13,"['STX Entertainment', ' Other', ' Universal Pictures']","['Romance', 'Comedy']"
7484,Open Season,2006-09-29,21.077,6.1,2085,85000000,197309027,PG,"['Sony Pictures Animation', ' Columbia Pictures', ' Sony Pictures']","['Animation', 'Family', 'Adventure', 'Comedy']"
397422,Rough Night,2017-06-15,21.056,5.7,1684,20000000,45056771,R,"['Other', ' Sony Pictures', ' Columbia Pictures']","['Drama', 'Comedy']"
464502,Acrimony,2018-03-30,21.055,6.8,315,20000000,34764055,R,['Other'],['Thriller']
329,Jurassic Park,1993-06-11,21.051,7.9,12845,63000000,920100000,PG-13,"['Universal Pictures', ' Amblin Entertainment']","['Adventure', 'Science Fiction']"
1911,The 13th Warrior,1999-08-13,21.043,6.6,1361,160000000,61698899,R,['Touchstone Pictures'],"['Adventure', 'History', 'Action']"
699,For Your Eyes Only,1981-06-23,21.039,6.5,1312,28000000,195312802,PG,"['United Artists', ' Eon Productions', ' Danjaq']","['Adventure', 'Action', 'Thriller']"
1391,Y Tu Mamá También,2001-06-08,21.026,7.4,1057,5000000,33616692,NR,"['Other', ' Other']","['Drama', 'Romance']"
9825,Lake Placid,1999-07-15,21.024,5.8,822,27000000,56870414,R,"['Other', ' Fox 2000 Pictures', ' Phoenix Pictures']","['Horror', 'Comedy', 'Action', 'Science Fiction', 'Thriller']"
2662,House of 1000 Corpses,2003-04-11,21.012,6.2,1144,7000000,17949758,R,"['Lionsgate', ' Other']",['Horror']
155084,13 Sins,2014-04-18,21.01,6.3,833,5000000,13809,R,"['Dimension Films', ' IM Global', ' Automatik Entertainment', ' Other', ' Other', ' Other']","['Horror', 'Thriller']"
333669,Bastille Day,2016-04-22,21.009,6.3,1015,20000000,14397593,R,"['StudioCanal', ' Other', ' Anonymous Content', ' Anton Capital Entertainment (ACE)', ' Canal+', ' TF1 Films Production']",['Action']
